"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 29 21:11:40 UTC 2022","Sat Jan 29 21:11:46 UTC 2022","5655","","Search products","","Search products","should search by Ingrid","should search by Ingrid",""
"passed","Sat Jan 29 21:10:58 UTC 2022","Sat Jan 29 21:11:00 UTC 2022","2473","","Product List","","Product List","shoud list products","shoud list products",""
